song_id,boundary_distance,entropy,distance_group
506,0.9000000000000004,0.9317839509590008,far
1522,0.20000000000000018,0.5238145434479449,near
872,0.5,0.2765904558238903,middle
1189,0.20000000000000018,0.7302798315095798,near
1648,1.1,0.9777159636606964,far
1970,0.9000000000000004,0.4044848507120838,far
555,0.20000000000000018,0.9934272577355144,near
1918,0.40000000000000036,1.0634374153163455,middle
773,0.2999999999999998,1.2519132517145457,near
1925,0.09999999999999964,0.3850084047863493,near
1927,0.40000000000000036,1.1281779757831043,middle
1708,0.7999999999999998,1.3660828319228902,far
978,1.0999999999999996,0.6933491832974479,far
227,1.5,0.8867640529059306,far
738,0.5,0.4294034750817147,middle
1280,0.40000000000000036,0.8205943770194919,middle
1640,1.0999999999999996,0.4374708347953474,far
226,0.0,1.1059252953832668,near
1344,0.5,0.4715011682311583,middle
1296,0.0,0.2597134251894004,near
1811,0.2999999999999998,0.5711242943813213,near
1269,0.5999999999999996,0.9866331693923036,middle
1696,1.2000000000000002,0.7851730476215528,far
1511,0.5,0.1080088794698004,middle
996,1.0,0.4940529287978916,far
1588,0.09999999999999964,0.38935652774084,near
1676,0.09999999999999964,0.6120460755755126,near
645,0.40000000000000036,1.2954483522269893,middle
1335,0.40000000000000036,0.2587759093406462,middle
339,0.9000000000000004,0.2719593237323021,far
1577,0.20000000000000018,1.0966223262309645,near
1312,0.2999999999999998,0.7449267454591164,near
880,0.09999999999999964,0.4873521661353974,near
763,0.5,1.232487138247432,middle
949,0.7000000000000002,0.2105131696968893,middle
1524,0.5999999999999996,0.5523068575638541,middle
500,0.20000000000000018,0.4693714187744511,near
1168,0.5999999999999996,0.8275608775335869,middle
1247,0.5999999999999996,0.5241592271500616,middle
515,1.2000000000000002,1.2683419119456834,far
1461,0.2999999999999998,0.7294699709736284,near
1485,0.2999999999999998,1.232905524505845,near
107,0.20000000000000018,1.1555072228070369,near
623,0.9000000000000004,1.1165991986363395,far
115,2.8,0.6309913635873065,far
908,0.09999999999999964,1.21519162722638,near
1789,0.09999999999999964,0.0576816947890095,near
189,1.5,0.9601700767758992,far
1966,0.0,0.7685052948863131,near
1538,0.2999999999999998,0.1074521669753849,near
1173,0.7000000000000002,0.2888858896320292,middle
480,0.9000000000000004,0.0139007528055473,far
1195,0.7999999999999998,1.092980728563547,far
1255,1.6,0.9966428731716572,far
1416,0.5999999999999996,1.2900412387073896,middle
820,1.4000000000000004,0.0975605330793987,far
228,1.0,0.6112471442502838,far
7,0.7999999999999998,0.5067615042991975,far
1664,0.7999999999999998,1.049845981684259,far
1855,0.40000000000000036,0.7285186267017288,middle
621,0.5999999999999996,0.681619577150456,middle
682,0.20000000000000018,0.778639674530863,near
1495,0.5999999999999996,0.951836417979316,middle
1470,0.09999999999999964,0.9258519143858372,near
610,1.2999999999999998,0.4723372746910769,far
1260,1.5,0.3413998508766115,far
1653,0.7000000000000002,0.5901283709511244,middle
616,0.0,0.8848156373900865,near
357,0.20000000000000018,0.5829073183988124,near
379,2.1,0.2671596105516732,far
